id,name,atk,def,guardian_star_1,guardian_star_2,type,color,level,attribute,starchip_cost,password,description
164,"Lord of Zemia",1300,1000,Mercury,Uranus,Fiend,,4,Dark,80,81618817,"A vile entity that\ndeceives enemies\ninto walking a path\nof destruction."
165,"The Judgement Hand",1400,700,Sun,Venus,Warrior,,3,Earth,60,28003512,"The hand of final\njudgment is capable\nof intense attacks\nagainst the enemy."
166,"Mysterious Puppeteer",1000,1500,Uranus,Mercury,Warrior,,4,Earth,100,54098121,"A puppet master that\nmanipulates enemies\nduring battle."
167,"Ancient Jar",400,200,Uranus,Neptune,Rock,,1,Earth,15,81492226,"A fragile jar from\nthe past containing\na mysterious\ncreature."
168,"Darkfire Dragon",1500,1250,Mars,Venus,Dragon,,4,Dark,140,17881964,"Scorching flames that\nwipe out enemies in\nthe blink of an eye."
169,"Dark King of the Abyss",1200,800,Mercury,Pluto,Fiend,,3,Dark,55,53375573,"King of the\nnetherworld.\nIt's said that he\nonce had the power\nto rule over\nthe Dark."
170,"Spirit of the Harp",800,2000,Sun,Mars,Fairy,,4,Light,160,80770678,"A spirit that\nsoothes the soul\nwith the music of\nits glorious harp."
171,"Big Eye",1200,1000,Venus,Neptune,Fiend,,4,Dark,70,16768387,"This creature is\ncovered with\nhypnotic eyes for\nmesmerizing its\nenemies."
172,"Armaill",700,1300,Mars,Mercury,Warrior,,3,Earth,55,53153481,"A strange warrior\nwho manipulates\nthree fearsome\nblades with both\nhands and its tail."
173,"Dark Prisoner",600,1000,Mercury,Neptune,Fiend,,3,Dark,35,89558090,"This creature\nmanipulates light to\neliminate all traces\nof its appearance."
174,"Hurricail",900,200,Saturn,Neptune,Spellcaster,,2,Wind,25,15042735,"A twister that runs\nrampant in the\nwastelands,\ncutting its enemies\nwith blades of wind."
175,"Ancient Brain",1000,700,Mercury,Moon,Fiend,,3,Dark,40,42431843,"Exiled from reality,\nthis creature is\nadept at fighting\nin the dark."
176,"Fire Eye",800,600,Mars,Saturn,Pyro,,2,Fire,30,88435542,"A winged eye\nenveloped in flames\nthat attacks enemies\nwith fire."
177,"Monsturtle",800,1000,Neptune,Mercury,Aqua,,3,Water,45,15820147,"A vicious turtle\nwith a spiked shell."
178,"Claw Reacher",1000,800,Mercury,Mars,Fiend,,3,Dark,45,41218256,"Stretching arms and\nrazor-sharp claws\nmake this monster a\nformidable opponent."
179,"Phantom Dewan",700,600,Mercury,Jupiter,Spellcaster,,2,Dark,30,77603950,"A wizard that freezes\nan enemy's movement\nwith a single curse."
180,"Arlownay",800,1000,Jupiter,Neptune,Plant,,3,Earth,45,14708569,"A maiden in the\nflower blossoms\nspreads poisonous\npollen against\nopponents."
181,"Dark Shade",1000,1000,Saturn,Mars,Fiend,,3,Wind,55,40196604,"Emits a dazzling\nlight from its\ncrystal to blind its\nenemies."
182,"Masked Clown",500,700,Mercury,Saturn,Warrior,,2,Dark,25,77581312,"A dancing warrior\nthat makes mincemeat\nout of opponents\nwith a sharp scythe."
183,"Lucky Trinket",600,800,Sun,Jupiter,Spellcaster,,2,Light,30,3985011,"A thin and reedy\ncreature protected\nby sacred power."
184,"Genin",600,900,Venus,Sun,Spellcaster,,3,Light,30,49370026,"Uses amazing\nsleight-of-hand\nto fool and destroy\nits enemies."
185,"Eyearmor",600,500,Uranus,Mars,Warrior,,2,Earth,25,64511793,"This warrior confuses\nand destroys enemies\nby adopting their\nimages."
186,"Fiend Refrection #2",1100,1400,Venus,Mars,Winged Beast,,4,Light,100,2863439,"A bird-beast\nthat summons\nreinforcements\nwith a hand mirror."
187,"Gate Deeg",700,800,Moon,Mars,Beast,,3,Dark,30,49258578,"A creature with\nan abdominal portal\nused for summoning\nmonsters from the\nnetherworld."
188,"Synchar",800,900,Jupiter,Sun,Beast,,3,Earth,40,75646173,"An ugly creature\nwith two heads and\na mouth for blasting\nlaser beams."
189,"Fusionist",900,700,Jupiter,Moon,Beast,,3,Earth,35,1641882,"A monstrous cat with\nwings and a long,\nstriking tail."
190,"Akakieisu",1000,800,Mercury,Uranus,Spellcaster,,3,Dark,45,38035986,"A wizard\nwhose incantations\nnumb the senses of\nopposing monsters."
191,"LaLa Li-oon",600,600,Pluto,Moon,Thunder,,2,Wind,25,9430387,"Protected by\nthunder,\nthis dangerous cloud\nattacks its enemies\nwith acid rain."
192,"Key Mace",400,300,Sun,Saturn,Fairy,,1,Light,15,1929294,"A small angel whose\ncuteness melts the\nhearts of its\nenemies."
193,"Turtle Tiger",1000,1500,Neptune,Saturn,Aqua,,4,Water,100,37313348,"A tiger encased in a\nprotective shell that\nattacks its enemies\nwith its razor-sharp\nfangs."
194,"Terra the Terrible",1200,1300,Moon,Jupiter,Fiend,,4,Dark,100,63308047,"Know as a dweller\nof the swamps,\nthis creature is a\nminion of the Dark\nforces."
195,"Doron",900,500,Neptune,Moon,Warrior,,2,Earth,30,756652,"An unpredictable\ncreature that splits\ninto two and attacks\nan enemy from\nopposite directions."
196,"Arma Knight",1000,1200,Neptune,Venus,Aqua,,4,Water,70,36151751,"An ammonite warrior\nthat has protected\nthe seas from the\ndawn of time."
197,"Mech Mole Zombie",500,400,Moon,Saturn,Zombie,,2,Dark,20,63545455,"A creature of the\nnight that attacks\nenemies with its\nrocket-powered arms."
198,"Happy Lover",800,500,Sun,Uranus,Fairy,,2,Light,30,99030164,"A little angel\nthat fires beams of\nhappiness from the\nheart jewel on its\nforehead."
199,"Penguin Knight",900,800,Uranus,Mercury,Aqua,,3,Water,40,36039163,"A penguin-like\ncreature that slides\non its belly to\ndeliver a blow with\nits outstretched\nsword."
200,"Petit Dragon",600,700,Saturn,Sun,Dragon,,2,Wind,30,75356564,"A very small dragon\nknown for its vicious\nattacks."
201,"Frenzied Panda",1200,1000,Jupiter,Venus,Beast,,4,Earth,70,98818516,"A savage beast that\ncarries a big bamboo\nstick for beating\ndown its enemies."
202,"Air Marmot of Nefariousness",400,600,Moon,Uranus,Beast,,2,Earth,20,75889523,"A horned beaver with\nwings that throws\nhigh-velocity acorns\nfrom the sky with\nuncanny accuracy."
203,"Phantom Ghost",600,800,Moon,Pluto,Zombie,,2,Dark,30,61201220,"Malicious spirits\nthat walk the world\nof the living,\nunable to find their\nfinal resting place."
204,"Mabarrel",1700,1400,Moon,Neptune,Fiend,,5,Dark,230,98795934,"A cannon-like\nmonster that rapidly\nfires eyeballs at the\nenemy."
205,"Dorover",900,800,Neptune,Sun,Aqua,,3,Water,40,24194033,"An ugly,\nmelting creature\nthat breathes out\npoison gas."
206,"Twin Long Rods #1",900,700,Moon,Mercury,Aqua,,3,Water,35,60589682,"This creature swings\nits whip-like arms\nfor mid-range\nattacks against\nenemies."
207,"Droll Bird",600,500,Saturn,Moon,Winged Beast,,2,Wind,25,97973387,"With a battle cry\nthat curdles the\nblood of its\nopponent,\nthis creature\nattacks with its\nmassive beak."
208,"Petit Angel",600,900,Sun,Pluto,Fairy,,3,Light,30,38142739,"A quick-moving and\ntiny angel that's\nvery difficult to hit."
209,"Winged Cleaver",700,700,Jupiter,Mercury,Insect,,2,Earth,30,39175982,"This creature\nattacks by swinging\naround its\nsickle-like arms."
210,"Hinotama Soul",600,500,Mars,Uranus,Pyro,,2,Fire,25,96851799,"An intensely hot\nflame creature that\nrams anything that\nstands in its way."
211,"Kaminarikozou",700,600,Pluto,Venus,Thunder,,2,Wind,30,15510988,"This creature stores\nlightning within its\nbody to deliver\nelectrifying attacks."
212,"Meotoko",700,600,Moon,Mars,Beast,,2,Earth,30,53832650,"A huge monster with\na single eye that\nfires an intence\nbeam."
213,"Aqua Madoor",1200,2000,Neptune,Mercury,Spellcaster,,4,Water,260,85639257,"A wizard of the\nwaters that conjures\na liquid wall to\ncrush any enemies\nthat oppose him."
214,"Kagemusha of the Blue Flame",800,400,Mars,Sun,Warrior,,2,Earth,25,15401633,"Serves as a double\nfor the ruler of the\nBlue Flame. A master\nswordsman that\nwields a fine blade."
215,"Flame Ghost",1000,800,Mars,Pluto,Zombie,,3,Dark,45,58528964,"A fiery spirit\nthat burns anything\nin its path."
216,"Dryad",1200,1400,Jupiter,Uranus,Spellcaster,,4,Earth,120,84916669,"A spirit of the\nforest protected by\nthe surrounding\nplant life."
217,"B. Skull Dragon",3200,2500,Moon,Jupiter,Dragon,,9,Dark,999999,11901678,"A very rare creature\ncreated from the\nfusion of an uncommon\nbeast and a vicious\ndragon."
218,"Two-mouth Darkruler",900,700,Moon,Saturn,Dinosaur,,3,Earth,35,57305373,"A dinosaur with two\ncrushing jaws.\nStores electricity in\nits horn and releases\nhigh voltage bolts\nfrom the mouth on its\nback."
219,"Solitude",1050,1000,Moon,Uranus,Beast-Warrior,,3,Earth,55,84794011,"A beast-warrior that\nswings a massive\nscythe that draws on\nthe spirit of its\nenemies to deliver\ndevastating blows."
220,"Masked Sorcerer",900,1400,Mercury,Neptune,Spellcaster,,4,Dark,80,10189126,"A mysterious wizard\nwhose face remains\nforever hidden behind\na strange mask."
221,"Kumootoko",700,1400,Jupiter,Pluto,Insect,,3,Earth,60,56283725,"A massive,\nintelligent spider\nthat traps its\nenemies with webbing."
222,"Midnight Fiend",800,600,Moon,Neptune,Fiend,,2,Dark,30,83678433,"A winged creature\nrumored to appear\nat midnight."
223,"Roaring Ocean Snake",2100,1800,Neptune,Mars,Aqua,,6,Water,550,19066538,"A massive sea\nserpent that creates\ntidal waves to wipe\nout its enemies."
224,"Trap Master",500,1100,Mercury,Moon,Warrior,,3,Earth,35,46461247,"A warrior that\nexcels in laying\ntraps such as a\nbottomless pit,\nfor eternally\nensnaring opponents."
225,"Fiend Sword",1400,800,Moon,Mercury,Warrior,,4,Dark,70,22855882,"Few have escaped\nthe curse of this\ncreature. Those that\nhave done so have\ngained untold power."
226,"Skull Stalker",900,800,Moon,Mars,Warrior,,3,Dark,40,54844990,"Swift and vicious,\nthis monster grabs\nits victim with its\npincers and attacks\nthe captive with its\npoison stinger."
227,"Hitodenchak",600,700,Neptune,Mars,Aqua,,2,Water,30,46718686,"A vicious starfish\nthat spits acid to\nmelt away its\nenemies."
228,"Wood Remains",1000,900,Jupiter,Neptune,Zombie,,3,Dark,50,17733394,"A zombie that rose\nfrom the remains of\nthe woodland ruler."
229,"Hourglass of Life",700,600,Sun,Neptune,Fairy,,2,Light,30,8783685,"A creature\nthat allows power\nto be gained at\nthe cost of life."
230,"Rare Fish",1500,1200,Neptune,Jupiter,Fish,,4,Water,140,80516007,"An unusual and\nferocious fish with\nthe head of a beast."
231,"Wood Clown",800,1200,Mercury,Mars,Warrior,,3,Earth,55,17511156,"An unpleasantly\nsmiling creature\nthat wields a scythe\nto avoid enemy blows."
232,"Madjinn Gunn",600,800,Moon,Jupiter,Fiend,,2,Dark,30,43905751,"A living weapon that\nfires projectiles\nfrom its mouth."
233,"Dark Titan of Terror",1300,1100,Mercury,Jupiter,Fiend,,4,Dark,120,89494469,"A spirit said to\ndwell in the world of\ndreams.\nAttacks enemies in\ntheir sleep."
234,"Beautiful Headhuntress",1600,800,Mercury,Saturn,Warrior,,4,Earth,120,16899564,"A lovely swordmaster\nwith some very agile\nmoves."
235,"Wodan the Resident of the Forest",900,1200,Jupiter,Sun,Warrior,,3,Earth,999999,42883273,"A warrior that has\nlong resided in the\nforest and enjoys\nthe protection\nof Mother Nature."
236,"Guardian of the Labyrinth",1000,1200,Pluto,Mercury,Warrior,,4,Earth,70,89272878,"A warrior that\nguards the entrance\nto the netherworld."
237,"Haniwa",500,500,Uranus,Jupiter,Rock,,2,Earth,20,84285623,"An earthen doll that\nprotects the\ntreasure in the\ntombs of ancient\nkings."
238,"Yashinoki",800,600,Jupiter,Moon,Plant,,2,Earth,30,41061625,"A palm tree with a\nwill of its own that\nattacks enemies by\nflinging coconuts."
239,"Vishwar Randi",900,700,Mercury,Uranus,Warrior,,3,Dark,35,78556320,"A woman warrior that\nserves the forces of\ndarkness."
240,"The Drdek",700,800,Moon,Saturn,Fiend,,3,Dark,30,8944575,"An eyeball creature\nwith legs for jumping\nhigh and delivering\nfinishing blows with\nits sharp claws."
241,"Dark Assailant",1200,1200,Moon,Uranus,Zombie,,4,Dark,120,41949033,"Armed with Psycho\nSword, this sinister\ncutthroat rules the\nouter land."
242,"Candle of Fate",600,600,Mars,Moon,Fiend,,2,Dark,25,47695416,"An opponent's fate\nis decided when the\nflames of each finger\nare extinguished."
243,"Water Element",900,700,Neptune,Saturn,Aqua,,3,Water,35,3732747,"A water spirit that\nenvelops its\nopponent in a thick\nfog to cover its\nattack."
244,"Dissolverock",900,1000,Mars,Venus,Rock,,3,Earth,50,40826495,"A monster borne from\nthe lava pits.\nGenerates intensive\nheat that can melt\naway its enemies."
245,"Meda Bat",800,400,Moon,Neptune,Fiend,,2,Dark,25,76211194,"An eyeball fiend\ncreated by a servant\nof darkness.\nUses {70}Dark Spheres{70}\nto blow away its\nenemies."
246,"One Who Hunts Souls",1100,1000,Moon,Mercury,Beast-Warrior,,4,Earth,60,3606209,"A creature with a\nsword that gains its\npower from the life\nforces of its victims."
247,"Root Water",900,800,Neptune,Sun,Fish,,3,Water,40,39004808,"An amphibian capable\nof calling up a\nmassive tidal wave\nfrom the dark seas\nto wipe out enemy\nmonsters."
248,"Master & Expert",1200,1000,Jupiter,Venus,Beast,,4,Earth,70,75499502,"A fearsome duo\nconsisting of a beast\nmaster and its loyal\nservant."
249,"Water Omotics",1400,1200,Neptune,Moon,Aqua,,4,Water,120,2483611,"Transforms the water\noverflowing from a\njar into attacking\ndragons."
250,"Hyo",800,1200,Neptune,Mercury,Warrior,,3,Water,55,38982356,"An ice warrior whose\nslightest touch\nfreezes an opponent."
251,"Enchanting Mermaid",1200,900,Neptune,Venus,Fish,,3,Water,60,75376965,"A beautiful mermaid\nthat lures voyagers\nto a watery grave."
252,"Nekogal #1",1100,900,Jupiter,Mercury,Beast,,3,Earth,999999,1761063,"A cat creature that\nlooks cute to the\neye but delivers\nscratching blows\nwith its sharp claws."
253,"Angelwitch",800,1000,Mercury,Neptune,Spellcaster,,3,Dark,45,37160778,"A creature that\nchose the path of\nsorcery to become\na witch."
254,"Embryonic Beast",500,750,Moon,Mars,Fiend,,2,Dark,25,64154377,"A repulsive monster\nwith a gaping belly\nthat swallows almost\nanything."
255,"Prevent Rat",500,2000,Jupiter,Uranus,Beast,,4,Earth,100,549481,"This monster is\nshielded by a hide\ncovered in thick\nhair."
256,"Dimensional Warrior",1200,1000,Venus,Mars,Warrior,,4,Earth,70,37043180,"A monster capable of\ncreating dimensional\nrifts to trap its\nenemies."
257,"Stone Armadiller",800,1200,Uranus,Sun,Rock,,3,Earth,55,63432835,"With a body armored\nby rock-hard fur,\nthis monster\nfeatures excellent\ndefense capabilities."
258,"Beastking of the Swamps",1000,1100,Uranus,Mercury,Aqua,,4,Water,60,99426834,"This creature\nchanges the ground\nat its feet into\nquicksand to ensnare\nits enemies."
259,"Ancient Sorcerer",1000,1300,Mercury,Moon,Spellcaster,,4,Dark,80,36821538,"A master fighter\nthat uses various\nstaffs to render\nenemies unconscious."
260,"Lunar Queen Elzaim",750,1100,Moon,Venus,Fairy,,3,Light,45,62210247,"A lovely moon goddess\nthat can throw up\na lunar curtain to\nblock enemy attacks."
261,"Wicked Mirror",700,600,Venus,Jupiter,Fiend,,2,Dark,30,15150371,"A malevolent mirror\nthat hypnotizes\na beholder and\nrenders the victim\nsusceptible\nto attacks."
262,"The Little Swordsman of Aile",800,1300,Neptune,Mars,Warrior,,3,Water,60,25109950,"An elf warrior\nmounted on a huge\nlizard."
263,"Rock Ogre Grotto #2",700,1400,Uranus,Sun,Rock,,3,Earth,60,62193699,"A stone golem that\nturns opponents into\nrocks and crushes\nthem to dust."
264,"Wing Egg Elf",500,1300,Sun,Mars,Fairy,,3,Light,45,98582704,"Hiding within its\neggshell,\nthis creature blocks\nenemy attacks with\nits massive wings."
265,"The Furious Sea King",800,700,Neptune,Jupiter,Aqua,,3,Water,30,18710707,"Grand King of the\nSeven Seas.\nAble to summon\nmassive tidal waves\nto drown the enemy."
266,"Princess of Tsurugi",900,700,Saturn,Venus,Warrior,,3,Wind,35,51371017,"A queen of swords\nthat is virtually\nunequalled in her\nmastery of every\nblade imaginable\nto man."
267,"Unknown Warrior of Fiend",1000,500,Mercury,Mars,Warrior,,3,Dark,30,97360116,"The speed of this\nwarrior creates\nan intense vacuum\nthat can actually\nslice through\na monster's hide."
268,"Sectarian of Secrets",700,500,Mercury,Jupiter,Spellcaster,,2,Dark,25,15507080,"A sorcerer that\nworships the dark\nforces and can\nsummon a massive\nhand to drag away\nopponents into the\nnetherworld."
269,"Versago the Destroyer",1100,900,Mercury,Saturn,Fiend,,3,Dark,55,50259460,"A lord of destruction\nborn from the heart\nof darkness,\nthis creature can\nsummon storms to\ndestroy opponents."
270,"Wetha",1000,900,Neptune,Saturn,Aqua,,3,Water,50,96643568,"A rain spirit that\ncan summon typhoons\nto blow away its\nenemies."
271,"Megirus Light",900,600,Mercury,Uranus,Fiend,,3,Dark,30,23032273,"This creature's\nominous eyes can\nunleash piercing rays\nagainst its enemies."
272,"Mavelus",1300,900,Mars,Mercury,Winged Beast,,4,Wind,70,59036972,"Related to the\nphoenix,\nthis creature dwells\nin the mountains.\nIts fiery breath is\nextremely scorching."
273,"Ancient Tree of Enlightenment",600,1500,Jupiter,Pluto,Plant,,3,Earth,60,86421986,"Armed with a wealth\nof knowledge,\nthis monster is able\nto block just about\nany attack."
274,"Green Phantom King",500,1600,Jupiter,Neptune,Plant,,3,Earth,60,22910685,"This youthful king\nof the forests lives\nin a green world,\nabundant with trees\nand wildlife."
275,"Ground Attacker Bugroth",1500,1000,Uranus,Moon,Machine,,4,Earth,100,58314394,"A land-based armored\nrobot that is said\nto once have marine\nattack capabilities."
276,"Ray & Temperature",1000,1000,Sun,Saturn,Fairy,,3,Light,55,85309439,"The Sun and the\nNorth Wind join\nhands to deliver\na devastating\ncombination of heat\nand gale-force winds."
277,"Gorgon Egg",300,1300,Moon,Jupiter,Fiend,,3,Dark,35,11793047,"A gorgon's egg with\neyes said to create\nwhatever creature\ncrosses its view."
278,"Petit Moth",300,200,Jupiter,Sun,Insect,,1,Earth,10,58192742,"Nobody has any idea\nwhat creature may\nspawn from this\nmysterious larva."
279,"King Fog",1000,900,Mercury,Neptune,Fiend,,3,Dark,50,84686841,"A spectre that\ndwells in a blinding\ncurtain of smoke."
280,"Protector of the Throne",800,1500,Uranus,Venus,Warrior,,4,Earth,80,10071456,"A creature that\nprotects the king's\nthrone from usurpers."
281,"Mystic Clown",1500,1000,Mercury,Moon,Fiend,,4,Dark,100,47060154,"Nothing can stop the\nmad attack of this\npowerful creature."
282,"Mystical Sheep #2",800,1000,Venus,Saturn,Beast,,3,Earth,45,83464209,"A monstrous sheep\nwith a long tail for\nhypnotizing enemies\nto render them\npowerless."
283,"Holograh",1100,700,Sun,Jupiter,Machine,,3,Earth,45,10859908,"A monster machine\nthat generates\nimages to confuse its\nenemies, making them\nprone to attacks."
284,"Tao the Chanter",1200,900,Venus,Uranus,Spellcaster,,3,Earth,999999,46247516,"A magic-user that\ncorrodes the yin\nand yang to create\na twisted power\nto attack enemies."
285,"Serpent Marauder",700,600,Neptune,Sun,Reptile,,2,Earth,30,82742611,"A snake with a single\neye that blows an icy\nbreath to freeze its\nopponents."
286,"Gatekeeper",1500,1800,Mercury,Mars,Machine,,5,Dark,290,19737320,"An indestructible\nmachine built to\nprotect key\nentrances."
287,"Ogre of the Black Shadow",1200,1400,Moon,Saturn,Beast-Warrior,,4,Earth,120,45121025,"An ogre possessed\nby the powers of the\ndark.\nFew can withstand\nits rapid charge."
288,"Dark Artist",600,1400,Mercury,Jupiter,Fiend,,3,Dark,999999,72520073,"A demented artist\nthat creates objets\nd'art to crush\nenemies."
289,"Change Slime",400,300,Neptune,Moon,Aqua,,1,Water,15,18914778,"A shape-shifting\nslime that is capable\nof adopting the form\nof other creatures."
290,"Moon Envoy",1100,1000,Moon,Saturn,Warrior,,4,Light,60,45909477,"A servant of the\nmoon goddess,\nthis warrior wields a\npike with\na spectacular\ncrescent-shaped\nblade."
291,"Fireyarou",1300,1000,Mars,Saturn,Pyro,,4,Fire,80,71407486,"A malevolent\ncreature wrapped in\nflames that attacks\nenemies with intense\nfire."
292,"Psychic Kappa",400,1000,Neptune,Venus,Aqua,,2,Water,30,7892180,"An amphibian with\nextrasensory powers\nfor blocking attacks."
293,"Masaki the Legendary Swordsman",1100,1100,Sun,Uranus,Warrior,,4,Earth,70,44287299,"Legendary\nswordmaster and a\nveteran of over 100\nbattles."
294,"Dragoness the Wicked Knight",1200,900,Saturn,Mercury,Warrior,,3,Wind,60,70681994,"A warrior equipped\nwith equipment\nfashioned from dragon\nscales."
295,"Bio Plant",600,1300,Jupiter,Moon,Fiend,,3,Dark,50,7670542,"A monstrous creature\nborn from a failed\nlab experiment."
296,"One-eyed Shield Dragon",700,1300,Saturn,Pluto,Dragon,,3,Wind,55,33064647,"This dragon wears a\nshield not only for\nits own protection\nbut also for ramming\nits enemies."
297,"Cyber Soldier of Darkworld",1400,1200,Moon,Uranus,Machine,,4,Dark,120,75559356,"An unstoppable\nmechanical soldier\npowered by dark\nforces."
298,"Wicked Dragon with the Ersatz Head",900,900,Moon,Neptune,Dragon,,3,Wind,45,2957055,"A two-headed dragon\nwith a pair of\nvicious jaws for\ncrushing its enemies."
299,"Sonic Maid",1200,900,Sun,Pluto,Warrior,,3,Earth,999999,38942059,"A maiden that uses\nsound to her\nadvantage.\nShe wields a scythe\nthat's shaped like a\nmusical note."
300,"Kurama",800,800,Saturn,Neptune,Winged Beast,,3,Wind,35,85705804,"A vicious bird that\nattacks from the\nskies with its\nwhip-like tail."
301,"Legendary Sword",0,0,None,None,Equip,,0,6,800,61854111,"A sword that brings\nout the best in\nwarriors. It cannot\nbe used by servants\nof the dark."
302,"Sword of Dark Destruction",0,0,None,None,Equip,,0,6,800,37120512,"Dark forces\nincrease the power\nof Warriors{15}"
303,"Dark Energy",0,0,None,None,Equip,,0,6,800,4614116,"Dark forces increase\nthe power of Fiends\nand other monsters\nof the Dark{15}"
304,"Axe of Despair",0,0,None,None,Equip,,0,6,800,40619825,"Fiends and\nBeast-Warriors can\nconstantly use their\nmaximum strength{15}"
305,"Laser Cannon Armor",0,0,None,None,Equip,,0,6,800,77007920,"Arms Insects with\na powerful laser{15}"
306,"Insect Armor with Laser Cannon",0,0,None,None,Equip,,0,6,800,3492538,"Allows Insects to\nfire an intense\nblast of fire{15}"
307,"Elf's Light",0,0,None,None,Equip,,0,6,800,39897277,"Increases the power\nof elves with\nmystical light{15}"
308,"Beast Fangs",0,0,None,None,Equip,,0,6,800,46009906,"Increases the power\nof Beasts and other\nfanged monsters{15}"
309,"Steel Shell",0,0,None,None,Equip,,0,6,800,2370081,"Boosts the power of\nshelled monsters{15}\nSaid to have no\neffect on those\nwithout shells."
310,"Vile Germs",0,0,None,None,Equip,,0,6,800,39774685,"Vile microbes boost\nthe power of Plants\nin the woods{15}"
311,"Black Pendant",0,0,None,None,Equip,,0,6,800,65169794,"This pendant grants\nextra power\nto Dark sorcerers{15}"
312,"Silver Bow and Arrow",0,0,None,None,Equip,,0,6,800,1557499,"Silver bow and arrow\nenhances the power\nof Fairies."
313,"Horn of Light",0,0,None,None,Equip,,0,6,800,38552107,"Increases the power\nof horned creatures{15}\nHas no effect\non Dark monsters."
314,"Horn of the Unicorn",0,0,None,None,Equip,,0,6,800,64047146,"Increases the power\nof Dark monsters\nwith horns{15}"
315,"Dragon Treasure",0,0,None,None,Equip,,0,6,800,1435851,"A legendary treasure\nthat increases the\npower of dragons."
316,"Electro-whip",0,0,None,None,Equip,,0,6,800,37820550,"A whip for paralyzing\nenemies.\nIncreases power when\nequipped with female\ncreatures."
317,"Cyber Shield",0,0,None,None,Equip,,0,6,800,63224564,"Increases the power\nof female monsters\nby changing their\nattitudes."
318,"Elegant Egotist",0,0,None,None,Equip,,0,6,999999,90219263,"Creates two\ndoppelgangers of\nHarpy Lady for\nthree-pronged\nattacks{15}"
319,"Mystical Moon",0,0,None,None,Equip,,0,6,800,36607978,"Moonlight increases\nthe power of Beasts{15}"
320,"Stop Defense",0,0,None,None,Magic,,0,6,800,63102017,"Forces an opponent's\nmonster card\npositioned for\ndefense into the\nattack position."
321,"Malevolent Nuzzler",0,0,None,None,Equip,,0,6,800,99597615,"Diabolic forces act\nto increase the\npower of female and\nDark monsters{15}"
322,"Violet Crystal",0,0,None,None,Equip,,0,6,800,15052462,"Mystic forces from\nthe crystal increase\nthe power of Zombies."
323,"Book of Secret Arts",0,0,None,None,Equip,,0,6,800,91595718,"A magic book for\nincreasing the power\nof magic-users.\nIt cannot be used\nby bad-hearted\nsorcerers."
324,"Invigoration",0,0,None,None,Equip,,0,6,800,98374133,"Increases the power\nof Thunder, Rock,\nand Pyro monsters."
325,"Machine Conversion Factory",0,0,None,None,Equip,,0,6,999999,25769732,"A manufacturing\nfacility that tunes\nup all Machine\nmonsters."
326,"Raise Body Heat",0,0,None,None,Equip,,0,6,800,51267887,"Absorbs the sun's\nenergy to increase\nthe power of\nDinosaurs{15}"
327,"Follow Wind",0,0,None,None,Equip,,0,6,800,98252586,"The winds provide\nsupport to increase\nthe power of Winged\nBeasts and other\nflying monsters{15}"
328,"Power of Kaishin",0,0,None,None,Equip,,0,6,800,77027445,"Poseidon's Strength\nis shared to boost\nthe power of Aqua,\nFish, and Sea Serpent\nmonsters{15}"
329,"Dragon Capture Jar",0,0,None,None,Magic,,0,7,999999,50045299,"Destroys all\nopponent Dragon\nmonsters on the\nplayfield{15}"
330,"Forest",0,0,None,None,Magic,,0,6,55,87430998,"Changes the field\nin favor of\nBeast-Warrior,\nInsect, Plant, and\nBeast monsters{15}"
331,"Wasteland",0,0,None,None,Magic,,0,6,55,23424603,"Changes the field\nin favor of Zombie,\nDinosaur and Rock\nmonsters{15}"
332,"Mountain",0,0,None,None,Magic,,0,6,55,50913601,"Changes the field\nin favor of Dragon,\nWinged Beast, and\nThunder monsters{15}"
333,"Sogen",0,0,None,None,Magic,,0,6,55,86318356,"Changes the field\nto meadow land\nin favor of Warrior\nand Beast-Warrior\nmonsters{15}"
334,"Umi",0,0,None,None,Magic,,0,6,55,22702055,"Changes the field\nin favor of Aqua and\nThunder monsters,\nbut unfavorable to\nMachine and Pyro\nmonsters{15}"
335,"Yami",0,0,None,None,Magic,,0,6,55,59197169,"Changes the field\nin favor of\nMagic-User and\nFiend monsters,\nbut unfavorable\nto Fairy monsters{15}"
336,"Dark Hole",0,0,None,None,Magic,,0,6,20000,53129443,"Sucks up every card\nin play on the field{15}"
337,"Raigeki",0,0,None,None,Magic,,0,6,999999,12580477,"Destroys every\nopposing monster\nwith a stroke\nof lightning{15}"
338,"Mooyan Curry",0,0,None,None,Magic,,0,6,999999,58074572,"A delicious\nbeef curry increases\nLife Points by 200{15}"
339,"Red Medicine",0,0,None,None,Magic,,0,6,55,38199696,"A magic potion\nthat increases\nLife Points by {5c}00{15}"
340,"Goblin's Secret Remedy",0,0,None,None,Magic,,0,6,20000,11868825,"A goblin's herb\nthat increases\nLife Points by 1000{15}"
341,"Soul of the Pure",0,0,None,None,Magic,,0,6,35000,47852924,"A fairy potion\nthat increases\nLife Points by 2000{15}"
342,"Dian Keto the Cure Master",0,0,None,None,Magic,,0,6,999999,84257639,"A mystical power\nthat increases\nLife Points by {5c}000{15}"
343,"Sparks",0,0,None,None,Magic,,0,6,10,76103675,"A shower of sparks\ninflicts {5c}0 points\nof damage\nto your opponent's\nLife Points{15}{15}"
344,"Hinotama",0,0,None,None,Magic,,0,6,55,46130346,"A fireball inflicts\n100 points of damage\nto your opponent's\nLife Points{15}{15}"
